id	filename	md5	size	state
026818a6-8180-4d9c-9357-b88a832b374e	026818a6-8180-4d9c-9357-b88a832b374e/d4d783e3-e8df-4cbd-9f8a-53120abf58a1.rna_seq.augmented_star_gene_counts.tsv	99d83193b0bc66f217ae1d1686611665	4211909	validated
11c21f13-84a0-416f-a7ca-25fc1c2ee0f9	11c21f13-84a0-416f-a7ca-25fc1c2ee0f9/dd2b52ba-d990-4d04-b070-c385de438ba8.rna_seq.augmented_star_gene_counts.tsv	e5d38bd8e9ad659a9afd8b60c1463799	4238106	validated
1cdc3d1e-a447-4a23-a649-d1678f1cae0d	1cdc3d1e-a447-4a23-a649-d1678f1cae0d/a0f02bbb-02ca-4da7-b35f-648ec72cc65c.rna_seq.augmented_star_gene_counts.tsv	19d0c84ad6cfe8f77c58e8015f4d5e39	4235373	validated
35c3dc03-a8cc-46e1-b5f6-4106ff5875f6	35c3dc03-a8cc-46e1-b5f6-4106ff5875f6/afdac76a-b30c-4fc9-acfc-3c4c76828d12.rna_seq.augmented_star_gene_counts.tsv	40f2995ed71a96c33b87a01d9b97e649	4241188	validated
40fa17c0-c7e8-40df-8375-f1dde93d5e9c	40fa17c0-c7e8-40df-8375-f1dde93d5e9c/212e6f9a-015d-47d4-bb40-ee432504970f.rna_seq.augmented_star_gene_counts.tsv	d092aaea88267e5e0e7e79a3982406fb	4242013	validated
477b8769-8e6d-408d-a1d6-a57ece08fb9a	477b8769-8e6d-408d-a1d6-a57ece08fb9a/45bb01dd-5506-42f2-9093-3ea378bec587.rna_seq.augmented_star_gene_counts.tsv	8654c871adf668c03f8ccad91acd7cdb	4237869	validated
4cf322d0-afa6-4109-aa0e-a25e587619f8	4cf322d0-afa6-4109-aa0e-a25e587619f8/c69a9c54-79cd-45d2-b6ba-68b6a1ac0afc.rna_seq.augmented_star_gene_counts.tsv	1b9e65e4489496afed727dd9f0a085cf	4235721	validated
50df857e-33c7-402e-ae42-6df5c8ea9a34	50df857e-33c7-402e-ae42-6df5c8ea9a34/700c96a6-ac08-452a-b4e5-acda4fe8be23.rna_seq.augmented_star_gene_counts.tsv	9ce174555a33308b84509b00b37ca073	4230973	validated
530bff57-a892-435d-94df-ddc7dbd45fb9	530bff57-a892-435d-94df-ddc7dbd45fb9/ba6ae99d-73a8-48a5-b038-749434ae2f11.rna_seq.augmented_star_gene_counts.tsv	d6bb414eb7f4f3645e3608cbb29c60c0	4237522	validated
62884f50-b796-4894-b76e-4b8df0985ec6	62884f50-b796-4894-b76e-4b8df0985ec6/bd612ef1-6169-4a4c-8d9d-c45075f6d259.rna_seq.augmented_star_gene_counts.tsv	b9d3d742b468df7d57a6cb43cbeb4f4d	4242149	validated
6869f997-6119-4a64-9dd8-4fe7266171e9	6869f997-6119-4a64-9dd8-4fe7266171e9/1a7a23fc-67d0-47d7-a4bf-0acd6ff15836.rna_seq.augmented_star_gene_counts.tsv	011d138b6bc2cb9157e582444c184fb4	4237467	validated
756b1010-09e1-425f-8682-f9f8144b3c4c	756b1010-09e1-425f-8682-f9f8144b3c4c/b3e4282d-55bf-43ab-a9af-9e4ec31240ed.rna_seq.augmented_star_gene_counts.tsv	8c9dffa7bc74936ab13c1a5277c54483	4229447	validated
815fe2c4-9815-416b-b44f-9cd48c6aba89	815fe2c4-9815-416b-b44f-9cd48c6aba89/be10ae89-8bc1-4ef3-aae2-8e49379d8649.rna_seq.augmented_star_gene_counts.tsv	87e24181421e041c9314c154135a7b50	4229861	validated
8de9cb61-cdb8-47f3-8c83-8ebaac2d0cb4	8de9cb61-cdb8-47f3-8c83-8ebaac2d0cb4/f14f75eb-ca4e-4503-9da9-75981dbd3a2e.rna_seq.augmented_star_gene_counts.tsv	0563a7a2e39caae3edcb71081680fadf	4232531	validated
8eaead17-aacf-49b0-9f62-30fb80df9df3	8eaead17-aacf-49b0-9f62-30fb80df9df3/871b21df-9338-419b-a2cc-9cf1552f4da2.rna_seq.augmented_star_gene_counts.tsv	6a405361d20c45f13565ef301046c598	4234303	validated
